Article,Tag,Chromophore,Solvent,Absorption max (nm),Emission max (nm),Lifetime (ns),Quantum yield,log(e/mol-1 dm3 cm-1),abs FWHM (cm-1),emi FWHM (cm-1),abs FWHM (nm),emi FWHM (nm),Molecular weight (g mol-1),Reference,link
2,2997,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCO,345.9010723,399.5046143,1.29,0.99,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,2998,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CC(C)CO,344.4949704,396.4949843,1.29,1,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3001,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CC(C)O,343.9026068,396.9986899,1.3,1,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3003,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCCO,342.7004798,388.5003885,1.25,1,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3004,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCCCO,345.6022119,397.9941097,1.32,1,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3006,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,OC1CCCCC1,346.5003465,398.9945338,1.28,0.91,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3008,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCCCCO,345.697791,396.4949843,1.296,1,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3010,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,OCCO,351.9020305,408.496732,1.13,0.76,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3012,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CC(O)CO,349.5037047,408.496732,1.32,0.99,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3015,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,NC=O,349.4060098,411.5056994,1.14,0.71,,,2940,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3016,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CC(C)=O,343.1002539,394.4928794,1.26,1,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3018,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CC#N,343.394801,395.50704,1.32,0.95,,,3040,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3021,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,ClC(Cl)Cl,344.6018126,382.0001528,0.79,0.68,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3022,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,ClCCl,344.4949704,388.0029488,1.23,1,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3025,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCC,332.9005626,373.9995512,1.12,0.95,,,3450,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3026,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CCC(C)CC,333.000333,374.5037825,1.002,0.92,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3028,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,C1CCCCC1,335.0981838,377.0028275,1.02,1,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3030,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCCC,333.6002135,374.9953126,1.04,0.93,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3032,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CC(C)CC(C)(C)C,333.000333,374.9953126,1.02,0.95,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3035,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCCCCCC,334.8961822,375.9963904,1.08,1,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3037,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCCCCCCC,334.8961822,377.0028275,1.09,0.93,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3038,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,COCCOC,343.9026068,395.50704,0.88,0.7,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3041,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,C1COCCO1,340.7967829,377.0028275,1.21,1,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3042,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,C1CCOC1,341.7985439,391.4966919,1.21,0.88,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3045,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CC1CCCO1,338.9026333,384.4970778,1.15,1,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3046,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CCOCC,338.2034632,379.5066414,1.24,0.99,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3049,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CC(C)OC(C)C,339.5009336,387.5067814,1.2,1,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3051,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CC1COC(=O)O1,345.1012872,404.0077569,1.41,1,,,3150,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3052,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,c1ccccc1,342.9943406,375.5022342,1.08,0.97,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3055,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,Cc1ccccc1,341.997264,374.5037825,1.04,0.9,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3056,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,Cc1ccccc1C,341.4017958,372.9951511,1.07,0.99,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3059,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CCOC(C)=O,339.6969903,381.5046544,1.19,1,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3060,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CN(C)C=O,346.5003465,400.4966158,1.28,0.92,,,3060,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3063,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C,CS(C)=O,348.5049139,408.496732,1.26,1,,,,,,439.51026,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3064,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CO,353.5067873,456.9966182,0.43,0.01,,,5650,,,487.55426,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3067,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CCO,356.2014676,453.4941726,0.8,0.05,,,,,,487.55426,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
2,3068,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,CCCCO,357.9226171,441.5011038,2,0.76,,,,,,487.55426,10.1039/c1pp05123g,https://doi.org/10.1039/c1pp05123g
